,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count,DOM_labels
86,284469,864691136388859408,[191488  93168  16799],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,232.0,1532.0,197.0,1456.0,1
88,687324,864691135855599918,[383104  85856  24564],2022-06-09 14:30:32.002707,L1,excitatory,23P,8.0,1715.0,7.0,1552.0,1
89,484757,864691136020251896,[278880  86384  23253],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,205.0,2127.0,191.0,1996.0,1
91,356993,864691136662477022,[222656  91264  24897],2022-06-09 14:30:32.002707,L1,inhibitory,BPC,19.0,1693.0,15.0,1570.0,1
92,516514,864691135585145724,[299264  97872  16072],2022-06-09 14:30:32.002707,L1,excitatory,23P,52.0,1489.0,44.0,1388.0,1
93,358176,864691135501921090,[224720  96304  24263],2022-06-09 14:30:32.002707,L1,excitatory,23P,79.0,4885.0,66.0,4441.0,1
96,221228,864691135585331580,[157280  97984  22823],2022-06-09 14:30:32.002707,L1,inhibitory,BPC,27.0,1531.0,16.0,1464.0,1
98,151798,864691135589944843,[118736 110320  19050],2022-06-09 14:30:32.002707,L1,excitatory,23P,315.0,2756.0,244.0,2534.0,1
99,636460,864691135293069836,[375488  91376  23949],2022-06-09 14:30:32.002707,L1,excitatory,23P,168.0,2392.0,147.0,2218.0,1
100,551678,864691136023777849,[313392  97216  18647],2022-06-09 14:30:32.002707,L1,inhibitory,23P,377.0,2283.0,320.0,2135.0,1
101,389440,864691134917702922,[237120  98672  21356],2022-06-09 14:30:32.002707,L1,excitatory,23P,56.0,5115.0,42.0,4630.0,1
103,323649,864691136227015249,[210896  84752  27268],2022-06-09 14:30:32.002707,L1,excitatory,23P,136.0,1091.0,103.0,1021.0,1
104,580839,864691136486778130,[330464 105232  19098],2022-06-09 14:30:32.002707,L1,excitatory,23P,73.0,8697.0,54.0,7725.0,1
105,255461,864691135323104924,[180384  98560  25035],2022-06-09 14:30:32.002707,L1,excitatory,23P,173.0,4660.0,147.0,4296.0,1
111,607756,864691136795869294,[345488 108752  15430],2022-06-09 14:30:32.002707,L1,inhibitory,BC,28.0,2757.0,12.0,2565.0,1
114,580714,864691135737843057,[330992 102464  16885],2022-06-09 14:30:32.002707,L1,excitatory,23P,44.0,4424.0,36.0,4143.0,1
115,324080,864691136175062534,[208368 105328  18816],2022-06-09 14:30:32.002707,L1,excitatory,23P,56.0,4354.0,44.0,3940.0,1
117,607248,864691135994568618,[359904  88480  21970],2022-06-09 14:30:32.002707,L1,excitatory,23P,26.0,1540.0,19.0,1424.0,1
119,290762,864691136005185226,[194512 101536  17091],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,1000.0,5022.0,808.0,4594.0,1
130,104823,864691135322995100,[ 99056 109520  20778],2022-06-09 14:30:32.002707,L1,excitatory,23P,51.0,2121.0,42.0,1962.0,1
137,105162,864691135654055618,[114208  97792  23380],2022-06-09 14:30:32.002707,L1,excitatory,23P,184.0,3066.0,151.0,2731.0,1
138,152502,864691135345217439,[126560 109552  26505],2022-06-09 14:30:32.002707,L1,excitatory,23P,184.0,2273.0,155.0,2092.0,1
139,324090,864691135575098910,[211440 104832  19334],2022-06-09 14:30:32.002707,L1,excitatory,23P,89.0,5584.0,78.0,5013.0,1
143,580531,864691135969248357,[340432  87680  27195],2022-06-09 14:30:32.002707,L1,excitatory,23P,43.0,2153.0,33.0,2020.0,1
148,551589,864691135731052180,[317872  98496  17763],2022-06-09 14:30:32.002707,L1,inhibitory,MC,18.0,3124.0,13.0,2943.0,1
152,516352,864691135341483461,[295824  93248  26682],2022-06-09 14:30:32.002707,L1,excitatory,23P,113.0,3649.0,110.0,3437.0,1
158,551815,864691135440479816,[315664 104816  19821],2022-06-09 14:30:32.002707,L1,excitatory,23P,107.0,4789.0,90.0,4489.0,1
159,636383,864691135745875645,[365616  84288  23256],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,1881.0,2386.0,1290.0,2262.0,1
160,516547,864691135809855436,[308464 102352  15894],2022-06-09 14:30:32.002707,L1,excitatory,23P,58.0,4061.0,46.0,3663.0,1
161,516299,864691135737186180,[305456  82176  25058],2022-06-09 14:30:32.002707,L1,excitatory,23P,169.0,868.0,152.0,830.0,1
162,220170,864691136297107227,[152624  90400  26055],2022-06-09 14:30:32.002707,L1,excitatory,23P,265.0,1684.0,229.0,1563.0,1
168,290665,864691135918340784,[183664 104032  16230],2022-06-09 14:30:32.002707,L1,excitatory,23P,90.0,3228.0,80.0,2919.0,1
170,389973,864691135012884214,[234608  96176  27181],2022-06-09 14:30:32.002707,L1,excitatory,23P,651.0,3394.0,568.0,3074.0,1
171,324573,864691136787172462,[206784  96656  24772],2022-06-09 14:30:32.002707,L1,excitatory,23P,308.0,4092.0,259.0,3622.0,1
172,580249,864691135809454284,[327904  94080  23587],2022-06-09 14:30:32.002707,L1,excitatory,23P,91.0,6157.0,77.0,5554.0,1
173,290913,864691135396369185,[192608  95312  18488],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,33.0,1781.0,24.0,1662.0,1
189,418897,864691135939647398,[256448  93184  17381],2022-06-09 14:30:32.002707,L1,inhibitory,MC,424.0,4141.0,362.0,3857.0,1
191,452054,864691135474739264,[268784  95024  15579],2022-06-09 14:30:32.002707,L1,excitatory,23P,40.0,5198.0,38.0,4753.0,1
195,604752,864691135180883604,[348544  77328  24649],2022-06-09 14:30:32.002707,L1,excitatory,23P,13.0,1114.0,10.0,1056.0,1
196,389612,864691135348558807,[232848  96688  22844],2022-06-09 14:30:32.002707,L1,excitatory,23P,182.0,4276.0,127.0,3904.0,1
201,580770,864691135354955727,[336384 100624  17266],2022-06-09 14:30:32.002707,L1,excitatory,23P,171.0,7973.0,147.0,7264.0,1
202,607353,864691135777140413,[358096  87296  23901],2022-06-09 14:30:32.002707,L1,excitatory,23P,58.0,3252.0,46.0,2994.0,1
203,636668,864691136008889518,[372912  83584  25019],2022-06-09 14:30:32.002707,L1,excitatory,23P,28.0,2334.0,22.0,2139.0,1
209,388681,864691136723726333,[230288  92976  25531],2022-06-09 14:30:32.002707,L1,excitatory,23P,275.0,5032.0,234.0,4288.0,1
211,484773,864691136577873172,[286720  94000  23343],2022-06-09 14:30:32.002707,L1,excitatory,23P,59.0,6074.0,44.0,5455.0,1
212,485580,864691136194500428,[282240 101376  20966],2022-06-09 14:30:32.002707,L1,excitatory,23P,68.0,5544.0,57.0,5040.0,1
